  ,QICategory,QiSubCategory,isKPI,isAngelsCriteria,QIName,QIshortName,referenceDataColumns,attributeType,n_missingEntriesInDB,summarizeBy,isSmallerOrLargerBetterValue,visualizedAsOnNewDashboard,commentsInfo,aggregatedGroupsName,conditionForAggr,isStudProj
1,PatientOverview,,,,Patient count,,subject_id,Numerical,0,count,,trend,Number of patients in hospital,patient count,total cohort,x
2,PatientCharacteristics,,,,Age,,age,Numerical,0,median,,trend,Age of patients,median age,total cohort,x
3,PatientCharacteristics,,,,Gender,,gender,Categorical,0,%,,stacked_bargraph,Gender of patients,gender,total cohort,x
4,PatientCharacteristics,,,,NIHSS,,nihss_score,Numerical,1765,median,<,trend,severity score,Median NIHSS,total cohort,
5,PatientCharacteristics,,,,BP systolic,,sys_blood_pressure,Numerical,9884,mean,<,trend,blood pressure contracts and pumps,Median systolic blood pressure,total cohort,
6,PatientCharacteristics,,,,BP diastolic,,dis_blood_pressure,Numerical,9884,mean,<,trend,blood pressure relaxed,Not found,Not found,
7,PatientCharacteristics,,,,Glucose,,glucose,Numerical,9885,median,<,trend,glucose (blood sugar),Median glucose,total cohort,
8,PatientCharacteristics,,,,LDL cholestorol,,cholesterol,Numerical,10091,mean,<,trend,"cholesterol (""fat"" blood)",Median cholesterol,total cohort,
9,PatientCharacteristics,,x,,mRS,,prestroke_mrs,Numerical,9166,%,<,trend,Score (0 to 6) ranking symptom severity,Median addmision mRS ,total cohort,x
10,PatientCharacteristics,,,,COVID positive,,covid_test,Categorical_binary,0,%,<,trend,patient has covid,Covid test performed,total cohort,
11,PatientCharacteristics,,,,Type of stroke,,stroke_type,Categorical,0,%,,stacked_bargraph,"Type of stroke (Ischemic, Hemorrhagic)",Stroke type,total cohort,x
12,PatientCharacteristics,,,,In-hospital stroke,,hospital_stroke,Categorical_binary,0,%,<,trend,Patient had a stroke while already in hospital,hospital stroke,total cohort,x
13,PatientCharacteristics,,,,Arrival pre-notified,,prenotification,Categorical_binary,0,%,>,trend,arrival was pre-notified,hospital prenotification by ems,arrival_mode == ems,
14,PatientCharacteristics,riskFactors,,,Hypertension,,risk_hypertension,Categorical_binary,0,%,<,trend,patient has been diagnosed with this condition previously,risk factor (from patient previous history,total cohort,x
15,PatientCharacteristics,riskFactors,,,Diabetes,,risk_diabetes,Categorical_binary,0,%,<,trend,patient has been diagnosed with this condition previously,risk factor (from patient previous history,total cohort,x
16,PatientCharacteristics,riskFactors,,,Hyperlipidemia,,risk_hyperlipidemia,Categorical_binary,0,%,<,trend,patient has been diagnosed with this condition previously,risk factor (from patient previous history,total cohort,x
17,PatientCharacteristics,riskFactors,,,Active smoker,,risk_smoker,Categorical_binary,0,%,<,trend,Patient actively smokes,risk factor (from patient previous history,total cohort,x
18,PatientCharacteristics,riskFactors,,,Active smoker last 10 years,,risk_smoker_last_10_years,Categorical_binary,0,%,<,trend,Patient has been smoking for ten years or more,risk factor (from patient previous history,total cohort,x
19,PatientCharacteristics,riskFactors,,,Previous IS/TIA,,risk_previous_ischemic_stroke,Categorical_binary,0,%,<,trend,Patient had an Ischemic stroke before (stroke cause by blood clot),risk factor (from patient previous history,total cohort,x
20,PatientCharacteristics,riskFactors,,,Previous ICH,,risk_previous_hemorrhagic_stroke,Categorical_binary,0,%,<,trend,Patient had an hemorrhagic stroke before (stroke cause by bleeding in brain),risk factor (from patient previous history,total cohort,x
21,PatientCharacteristics,riskFactors,,,Atrial Fib./Flutter,,risk_atrial_fibrilation,Categorical_binary,0,%,<,trend,Fast irregular heart beats,risk factor (from patient previous history,total cohort,x
22,PatientCharacteristics,riskFactors,,,Cor. Artery Disease / Previous MI,,risk_coronary_artery_disease_or_myocardial_infarction,Categorical_binary,0,%,<,trend,Patient has prior heart disease,risk factor (from patient previous history,total cohort,x
23,PatientCharacteristics,riskFactors,,,Cong. Heart Fail,,risk_congestive_heart_failure,Categorical_binary,0,%,<,trend,Patient had prior heart failure,risk factor (from patient previous history,total cohort,x
24,PatientCharacteristics,riskFactors,,,HIV,,risk_hiv,Categorical_binary,0,%,<,trend,Patient has HIV,risk factor (from patient previous history,total cohort,x
25,PatientCharacteristics,,,,Arrival mode,,arrival_mode,Categorical,0,%,,stacked_bargraph,how patient arrived to hospital,arrival mode to hospital,total cohort,
26,PatientCharacteristics,,,,First received care,,first_hospital,Categorical,0,%,,stacked_bargraph,Where patient was first hospitalised,first hospital,total cohort,x
27,PatientCharacteristics,,,,Hospitalized at unit,,hospitalized_in,Categorical,0,%,,stacked_bargraph,In what unit the patient was allocated,hospitalized in dedicated stroke unit,total cohort,
28,PatientCharacteristics,,,,Hospitalized at department,,department_type,Categorical,0,%,,stacked_bargraph,In what department the patient was allocated,addmission department,total cohort,
29,PatientCharacteristics,beforeOnset,,,Anti Diabetics,,before_onset_antidiabetics,Categorical_binary,0,%,<,trend,Patient was taking diabetes medication before stroke,Treatment before admission/event,"stroke_type in ['ischemic', 'transient ischemic']",x
30,PatientCharacteristics,beforeOnset,,,Anti Hypertensives,,before_onset_antihypertensives,Categorical_binary,0,%,<,trend,Patient was taking hypersensitivity medication before strokes,Not found,Not found,x
